name;quantity;cal;fat;cholesterol;sodium;protein;carb;fiber;sugars;vitamin
Celeriac;100;42;0.3;0;100;1.5;9.2;1.8;1.6;vitamin k
Kumquats;100;71;0.9;0;10;1.88;15.9;6.5;9.36;vitamin a
Kohlrabi;100;27;0.1;0;20;1.7;6.2;3.6;2.6;vitamin c
Tomato powder;100;302;0.4;0;134;12.91;74.68;16.5;43.9;vitamin a
Celtuce;100;18;0.3;0;11;0.85;3.65;1.7;0;vitamin a
Thyme;100;101;1.7;0;9;5.56;24.45;14;0;vitamin a
Basil;100;23;0.6;0;4;3.15;2.65;1.6;0.3;vitamin a
Rhubarb;100;21;0.2;0;4;0.9;4.54;1.8;1.1;vitamin a
Nopales;100;16;0.1;0;21;1.32;3.33;2.2;1.15;vitamin a
Loquats;100;47;0.2;0;1;0.43;12.14;1.7;0;vitamin a
Epazote;100;32;0.5;0;43;0.33;7.44;3.8;0;vitamin a
Pumpkin;100;26;0.1;0;1;1;6.5;0.5;2.76;vitamin a
Cardoon;100;17;0.1;0;170;0.7;4.07;1.6;0;vitamin c
Abiyuch;100;69;0.1;0;20;1.5;17.6;5.3;8.55;vitamin a
Pummelo;100;38;0;0;1;0.76;9.62;1;0;vitamin c
Quinces;100;57;0.1;0;4;0.4;15.3;1.9;0;vitamin a
Cracker meal;100;383;1.7;0;16;9.3;80.9;2.6;0.33;vitamin e
Roselle;100;49;0.6;0;6;0.96;11.31;0;0;vitamin a
Soursop;100;66;0.3;0;14;1;16.84;3.3;13.54;vitamin c
Millet flour;100;382;4.3;0;4;10.75;75.12;3.5;1.66;vitamin k
Arugula;100;25;0.7;0;27;2.58;3.65;1.6;2.05;vitamin a
Potato flour;100;357;0.3;0;55;6.9;83.1;5.9;3.52;vitamin c
Spinach;100;23;0.4;0;79;2.86;3.63;2.2;0.42;vitamin a
Phyllo dough;100;299;6;0;483;7.1;52.6;1.9;0.18;vitamin k
Cassava;100;160;0.3;0;14;1.36;38.06;1.8;1.7;vitamin c
Turnips;100;28;0.1;0;67;0.9;6.43;1.8;3.8;vitamin c
Bananas;100;89;0.3;0;1;1.09;22.84;2.6;12.23;vitamin a
Papayas;100;43;0.3;0;8;0.47;10.82;1.7;7.82;vitamin a
Fruit syrup;100;341;0;0;0;0;85.13;0.1;53;vitamin a
Carob flour;100;222;0.7;0;35;4.62;88.88;39.8;49.08;vitamin a
Prune puree;100;257;0.2;0;23;2.1;65.1;3.3;39;vitamin a
Salt;100;0;0;0;38758;0;0;0;0;vitamin a
Tofu;100;270;20;0;16;18.82;8.86;3.9;2.72;vitamin a
Borage;100;21;0.7;0;80;1.8;3.06;0;0;vitamin a
Mangos;100;60;0.4;0;1;0.82;14.98;1.6;13.66;vitamin a
Garlic;100;149;0.5;0;17;6.36;33.06;2.1;1;vitamin b6
Endive;100;17;0.2;0;22;1.25;3.35;3.1;0.25;vitamin a
